2024-03-07 20:58:17,053 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Configure stats pid to 27174
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/.config/wandb/settings
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/settings
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'run_group': 'dev', 'project': 'exercise_10'}
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program_abspath': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py'}
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_init.py:_log_setup():526] Logging user logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240307_205817-3lj7bidb/logs/debug.log
2024-03-07 20:58:17,054 INFO    MainThread:27174 [wandb_init.py:_log_setup():527] Logging internal logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240307_205817-3lj7bidb/logs/debug-internal.log
2024-03-07 20:58:17,055 INFO    MainThread:27174 [wandb_init.py:init():566] calling init triggers
2024-03-07 20:58:17,055 INFO    MainThread:27174 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-07 20:58:17,055 INFO    MainThread:27174 [wandb_init.py:init():616] starting backend
2024-03-07 20:58:17,055 INFO    MainThread:27174 [wandb_init.py:init():620] setting up manager
2024-03-07 20:58:17,057 INFO    MainThread:27174 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-07 20:58:17,061 INFO    MainThread:27174 [wandb_init.py:init():628] backend started and connected
2024-03-07 20:58:17,066 INFO    MainThread:27174 [wandb_init.py:init():720] updated telemetry
2024-03-07 20:58:17,074 INFO    MainThread:27174 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-07 20:58:17,865 INFO    MainThread:27174 [wandb_run.py:_on_init():2262] communicating current version
2024-03-07 20:58:18,110 INFO    MainThread:27174 [wandb_run.py:_on_init():2271] got version response 
2024-03-07 20:58:18,110 INFO    MainThread:27174 [wandb_init.py:init():804] starting run threads in backend
2024-03-07 20:58:27,206 INFO    MainThread:27174 [wandb_run.py:_console_start():2241] atexit reg
2024-03-07 20:58:27,207 INFO    MainThread:27174 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-07 20:58:27,207 INFO    MainThread:27174 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-07 20:58:27,207 INFO    MainThread:27174 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-07 20:58:27,208 INFO    MainThread:27174 [wandb_init.py:init():847] run started, returning control to user process
2024-03-07 20:58:36,327 WARNING MsgRouterThr:27174 [router.py:message_loop():77] message_loop has been closed
