danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
0.831,0.8140000000000001,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,audio_features,124539,4,Dark Trap,Mercury: Retrograde,, Mercury: Retrograde
0.7190000000000001,0.493,8,-7.23,1,0.0794,0.401,0.0,0.118,0.124,115.08,audio_features,224427,4,Dark Trap,Pathology,, Pathology
0.85,0.893,5,,1,0.0623,0.0138,4.14e-06,0.3720000000000001,0.0391,218.05,audio_features,98821,4,Dark Trap,Symbiote,, Symbiote
0.476,0.7809999999999999,0,-4.71,1,0.103,0.0237,0.0,0.114,0.175,186.948,audio_features,123661,3,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote),, ProductOfDrugs (Prod. The Virus and Antidote)
0.7979999999999999,0.624,2,-7.667999999999998,1,0.293,0.217,0.0,0.166,0.591,147.988,audio_features,123298,4,Dark Trap,Venom,, Venom
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,audio_features,112511,4,Dark Trap,Gatteka,, Gatteka
0.718,0.6679999999999999,8,-4.162,1,0.13699999999999998,0.0254,0.0078,0.124,0.038,130.826,audio_features,77584,4,Dark Trap,kamikaze (+ pulse),, kamikaze (+ pulse)
0.6940000000000001,0.711,8,,1,0.221,0.0397,0.0,0.112,0.28300000000000003,138.049,audio_features,127524,3,Dark Trap,T.R.U. (Totally Rotten Underground),, T.R.U. (Totally Rotten Underground)
0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.189,219.96,audio_features,140326,4,Dark Trap,I Put My Dick in Your Mental,, I Put My Dick in Your Mental
0.893,0.907,11,-10.406,1,0.3670000000000001,0.152,0.0311,0.5579999999999999,0.302,199.942,audio_features,121979,4,Dark Trap,Andromeda,, Andromeda
0.8640000000000001,0.365,8,-10.219,1,0.0655,0.187,0.0,0.116,0.0478,189.938,audio_features,101172,4,Dark Trap,BRAINFOOD,, BRAINFOOD
0.736,0.932,1,-3.726,1,0.271,0.146,0.0025,0.182,0.18,124.514,audio_features,115775,4,Dark Trap,Troll Under the Bridge,, Troll Under the Bridge
0.825,0.7609999999999999,8,-5.3889999999999985,1,0.104,0.0111,0.00359,0.334,0.161,149.97,audio_features,163371,4,Dark Trap,1000 Rounds,, 1000 Rounds
0.767,0.5760000000000001,10,-9.683,0,0.256,0.145,2.61e-06,0.0968,0.187,139.99,audio_features,96062,4,Dark Trap,Sacrifice,, Sacrifice
0.765,0.726,5,-5.58,1,0.191,0.0077,0.0,0.619,0.27,128.014,audio_features,135079,4,Dark Trap,Backpack,, Backpack
0.617,0.541,6,-4.113,1,0.78,0.125,0.0,0.369,0.43,159.996,audio_features,107999,4,Dark Trap,D(R)Own,, D(R)Own
0.755,0.298,1,-15.032,1,0.0915,0.154,0.329,0.101,0.0372,199.958,audio_features,123054,4,Dark Trap,"Okay,ButThisIsTheLastTime",," Okay,ButThisIsTheLastTime"
0.8140000000000001,0.575,11,,1,0.0635,0.172,0.000291,0.109,0.28800000000000003,120.004,audio_features,192833,4,Dark Trap,TakingOutTheTrash,, TakingOutTheTrash
0.812,0.813,10,-5.582999999999998,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,audio_features,180880,4,Dark Trap,Io sono qui,, Io sono qui
0.8490000000000001,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15,audio_features,111020,4,Dark Trap,Paris,, Paris
0.602,0.578,0,-5.61,1,0.0283,0.0343,0.0,0.16399999999999998,0.156,114.956,audio_features,186261,4,Dark Trap,Murder,, Murder
0.8759999999999999,0.768,7,-6.606,1,0.201,0.112,1.21e-05,0.28300000000000003,0.72,111.958,audio_features,124676,5,Dark Trap,High 'N Mighty,, High 'N Mighty
0.777,0.711,0,-3.902,1,0.13699999999999998,0.312,0.0,0.205,0.293,139.97299999999998,audio_features,153685,4,Dark Trap,Euronymous,, Euronymous
0.8290000000000001,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,audio_features,127128,4,Dark Trap,Hades,, Hades
0.7829999999999999,0.929,11,,0,0.0893,0.2,0.00414,0.6890000000000001,0.152,118.03,audio_features,134447,4,Dark Trap,Nails,, Nails
0.787,0.727,1,,1,0.265,0.000997,0.0017,0.376,0.21,141.52,audio_features,140038,4,Dark Trap,Squeeze,, Squeeze
0.705,0.648,4,-10.467,0,0.141,0.00476,0.000595,0.373,0.398,130.037,audio_features,155350,4,Dark Trap,No Teeth,, No Teeth
0.69,0.76,1,-5.431,1,0.0895,0.0525,0.0,0.134,0.0797,125.013,audio_features,154929,4,Dark Trap,Bang Ya Fucking Head,, Bang Ya Fucking Head
0.799,0.966,0,-4.586,1,0.366,0.08900000000000001,0.0,0.6579999999999999,0.8640000000000001,139.967,audio_features,137221,4,Dark Trap,BLUE JUICE,, BLUE JUICE
0.936,0.476,1,-11.439,1,0.403,0.0139,0.0,0.402,0.363,121.979,audio_features,175543,4,Dark Trap,Loch Ness,, Loch Ness
0.838,0.634,8,-8.076,1,0.0931,0.005370000000000001,0.0,0.111,0.224,114.771,audio_features,168202,4,Dark Trap,Hold Uh,, Hold Uh
0.964,0.51,1,,1,0.242,0.000214,6.47e-06,0.0549,0.474,130.028,audio_features,136650,4,Dark Trap,Bone Saw,, Bone Saw
0.83,0.387,10,-12.908,0,0.345,0.0858,0.407,0.0926,0.561,120.006,audio_features,132193,4,Dark Trap,Coffin Wave,, Coffin Wave
0.455,0.525,5,-12.692,0,0.0455,0.136,0.7340000000000001,0.125,0.279,119.999,audio_features,159974,4,Dark Trap,OhNo!,, OhNo!
0.748,0.573,9,-9.907,1,0.0543,0.484,2.59e-06,0.0929,0.193,117.962,audio_features,195875,4,Dark Trap,TheArtOfCremation,, TheArtOfCremation
0.745,0.688,6,-9.263,0,0.103,0.264,0.00906,0.077,0.522,114.997,audio_features,107750,5,Dark Trap,OakGroveRoad,, OakGroveRoad
0.722,0.519,0,-12.871,1,0.0516,0.0253,0.0114,0.189,0.128,199.974,audio_features,143833,4,Dark Trap,WhatWasThat,, WhatWasThat
0.657,0.473,1,,1,0.0368,0.232,0.026,0.108,0.153,150.029,audio_features,114500,4,Dark Trap,FunnyToSeeYouHere,, FunnyToSeeYouHere
0.936,0.474,1,-9.694,1,0.393,0.0213,0.0,0.111,0.168,129.999,audio_features,166910,4,Dark Trap,John Dee,, John Dee
0.765,0.62,10,-7.337999999999999,0,0.14,0.0643,0.00019,0.16,0.218,219.808,audio_features,131350,4,Dark Trap,Kybalion,, Kybalion
0.65,0.952,11,-2.6860000000000004,1,0.5,0.0912,0.35100000000000003,0.337,0.256,209.998,audio_features,122211,3,Dark Trap,Killer,, Killer
0.386,0.936,7,-5.551,1,0.604,0.101,0.00192,0.381,0.193,190.15,audio_features,197053,4,Dark Trap,608,, 608
0.563,0.68,0,-5.9529999999999985,1,0.39,0.236,3.28e-05,0.122,0.0396,180.218,audio_features,110000,3,Dark Trap,Eternal Dreams,, Eternal Dreams
