,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-24.28467,-0.19606885
1,4.9,3.0,1.4,0.2,setosa,-21.731905,0.6538823
2,4.7,3.2,1.3,0.2,setosa,-21.776773,-0.433848
3,4.6,3.1,1.5,0.2,setosa,-21.413086,-0.14120312
4,5.0,3.6,1.4,0.2,setosa,-24.284908,-0.6062536
5,5.4,3.9,1.7,0.4,setosa,-26.244112,-0.53388876
6,4.6,3.4,1.4,0.3,setosa,-22.005987,-0.7926608
7,5.0,3.4,1.5,0.2,setosa,-23.606373,0.08988856
8,4.4,2.9,1.4,0.2,setosa,-20.889145,-0.8281065
9,4.9,3.1,1.5,0.1,setosa,-22.219715,0.4804583
10,5.4,3.7,1.5,0.2,setosa,-25.822697,0.08833782
11,4.8,3.4,1.6,0.2,setosa,-22.95602,0.3292439
12,4.8,3.0,1.4,0.1,setosa,-21.460985,0.40031096
13,4.3,3.0,1.1,0.1,setosa,-20.417124,-0.7151051
14,5.8,4.0,1.2,0.2,setosa,-27.12772,0.048735134
15,5.7,4.4,1.5,0.4,setosa,-27.257927,-0.4864959
16,5.4,3.9,1.3,0.4,setosa,-26.403149,-0.20670728
17,5.1,3.5,1.4,0.3,setosa,-24.350784,-0.069420926
18,5.7,3.8,1.7,0.3,setosa,-26.623337,0.30707607
19,5.1,3.8,1.5,0.3,setosa,-25.312008,-0.6813903
20,5.4,3.4,1.7,0.2,setosa,-25.258686,0.90031695
21,5.1,3.7,1.5,0.4,setosa,-25.050081,-0.4590834
22,4.6,3.6,1.0,0.2,setosa,-20.229235,0.2960129
23,5.1,3.3,1.7,0.5,setosa,-23.954807,1.2453805
24,4.8,3.4,1.9,0.2,setosa,-23.000443,1.3440082
25,5.0,3.0,1.6,0.2,setosa,-22.15797,1.0540332
26,5.0,3.4,1.6,0.4,setosa,-23.805407,0.75473493
27,5.2,3.5,1.5,0.2,setosa,-24.752516,0.17607683
28,5.2,3.4,1.4,0.2,setosa,-24.42035,0.25340012
29,4.7,3.2,1.6,0.2,setosa,-22.088875,0.015137684
30,4.8,3.1,1.6,0.2,setosa,-22.067463,0.5425741
31,5.4,3.4,1.5,0.4,setosa,-25.187302,0.8154183
32,5.2,4.1,1.5,0.1,setosa,-26.368261,-0.9899345
33,5.5,4.2,1.4,0.2,setosa,-26.93867,-0.55356544
34,4.9,3.1,1.5,0.2,setosa,-22.283833,0.43855968
35,5.0,3.2,1.2,0.2,setosa,-22.769836,-0.53274804
36,5.5,3.5,1.3,0.2,setosa,-25.781027,0.68886346
37,4.9,3.6,1.4,0.1,setosa,-23.87716,-0.84006184
38,4.4,3.0,1.3,0.2,setosa,-20.826355,-0.6264975
39,5.1,3.4,1.5,0.2,setosa,-23.978495,0.20098859
40,5.0,3.5,1.3,0.3,setosa,-23.881905,-0.48931438
41,4.5,2.3,1.3,0.3,setosa,-20.706583,-1.5711504
42,4.4,3.2,1.3,0.2,setosa,-20.856194,-0.42251346
43,5.0,3.5,1.6,0.6,setosa,-24.232794,1.148154
44,5.1,3.8,1.9,0.4,setosa,-25.59365,-1.2797924
45,4.8,3.0,1.4,0.3,setosa,-21.491581,0.38476256
46,5.1,3.8,1.6,0.2,setosa,-25.369242,-0.7805345
47,4.6,3.2,1.4,0.2,setosa,-21.561045,-0.42878443
48,5.3,3.7,1.5,0.2,setosa,-25.553114,-0.09425942
49,5.0,3.3,1.4,0.2,setosa,-23.215311,-0.059866384
50,7.0,3.2,4.7,1.4,versicolor,12.599724,2.6304338
51,6.4,3.2,4.5,1.5,versicolor,10.94742,2.4912832
52,6.9,3.1,4.9,1.5,versicolor,12.7727995,2.1442893
53,5.5,2.3,4.0,1.3,versicolor,6.250511,4.518858
54,6.5,2.8,4.6,1.5,versicolor,11.359217,2.2417874
55,5.7,2.8,4.5,1.3,versicolor,8.336641,3.6711202
56,6.3,3.3,4.7,1.6,versicolor,10.967088,1.7643353
57,4.9,2.4,3.3,1.0,versicolor,4.7806654,4.85366
58,6.6,2.9,4.6,1.3,versicolor,11.588961,2.6528115
59,5.2,2.7,3.9,1.4,versicolor,6.4479537,4.9340715
60,5.0,2.0,3.5,1.0,versicolor,5.0109615,5.006402
61,5.9,3.0,4.2,1.5,versicolor,8.386744,3.1093063
62,6.0,2.2,4.0,1.0,versicolor,6.0368543,2.850727
63,6.1,2.9,4.7,1.4,versicolor,9.895784,1.9404268
64,5.6,2.9,3.6,1.3,versicolor,5.8097286,3.6343312
65,6.7,3.1,4.4,1.4,versicolor,11.675431,2.9693093
66,5.6,3.0,4.5,1.5,versicolor,8.59979,3.8843467
67,5.8,2.7,4.1,1.0,versicolor,6.80496,3.3336053
68,6.2,2.2,4.5,1.5,versicolor,8.526808,0.8516369
69,5.6,2.5,3.9,1.1,versicolor,6.1653433,3.9897544
70,5.9,3.2,4.8,1.8,versicolor,10.602876,0.6881145
71,6.1,2.8,4.0,1.3,versicolor,7.5005503,2.7828758
72,6.3,2.5,4.9,1.5,versicolor,10.0789585,0.28429115
73,6.1,2.8,4.7,1.2,versicolor,9.563316,2.105394
74,6.4,2.9,4.3,1.3,versicolor,10.423771,3.060538
75,6.6,3.0,4.4,1.4,versicolor,11.331907,2.9288476
76,6.8,2.8,4.8,1.4,versicolor,12.348368,2.222887
77,6.7,3.0,5.0,1.7,versicolor,12.931037,1.2214506
78,6.0,2.9,4.5,1.5,versicolor,9.365144,2.4984174
79,5.7,2.6,3.5,1.0,versicolor,5.398331,3.8157578
80,5.5,2.4,3.8,1.1,versicolor,5.8322883,4.295935
81,5.5,2.4,3.7,1.0,versicolor,5.5625644,4.2559576
82,5.8,2.7,3.9,1.2,versicolor,6.574969,3.5127568
83,6.0,2.7,5.1,1.6,versicolor,11.159944,-0.43046203
84,5.4,3.0,4.5,1.5,versicolor,8.392154,4.3766694
85,6.0,3.4,4.5,1.6,versicolor,10.286877,1.8271906
86,6.7,3.1,4.7,1.5,versicolor,12.125604,2.3693151
87,6.3,2.3,4.4,1.3,versicolor,8.387665,1.1402521
88,5.6,3.0,4.1,1.3,versicolor,7.543943,3.89405
89,5.5,2.5,4.0,1.3,versicolor,6.506823,4.368563
90,5.5,2.6,4.4,1.2,versicolor,7.4298263,4.497057
91,6.1,3.0,4.6,1.4,versicolor,9.886172,2.2794461
92,5.8,2.6,4.0,1.2,versicolor,6.63749,3.5289662
93,5.0,2.3,3.3,1.0,versicolor,4.8256235,4.8200545
94,5.6,2.7,4.2,1.3,versicolor,7.244945,4.121316
95,5.7,3.0,4.2,1.2,versicolor,7.72732,3.589341
96,5.7,2.9,4.2,1.3,versicolor,7.6988244,3.6561317
97,6.2,2.9,4.3,1.3,versicolor,9.513809,2.9566462
98,5.1,2.5,3.0,1.1,versicolor,4.6114,4.7390213
99,5.7,2.8,4.1,1.3,versicolor,7.2404695,3.7033384
100,6.3,3.3,6.0,2.5,virginica,15.266885,-3.8145063
101,5.8,2.7,5.1,1.9,virginica,10.853568,-1.111328
102,7.1,3.0,5.9,2.1,virginica,16.683435,-2.5104723
103,6.3,2.9,5.6,1.8,virginica,14.276746,-1.054041
104,6.5,3.0,5.8,2.2,virginica,15.455116,-2.1535933
105,7.6,3.0,6.6,2.1,virginica,18.060284,-2.9384298
106,4.9,2.5,4.5,1.7,virginica,7.591923,5.523441
107,7.3,2.9,6.3,1.8,virginica,17.629126,-2.405414
108,6.7,2.5,5.8,1.8,virginica,15.71338,-1.0756366
109,7.2,3.6,6.1,2.5,virginica,16.903801,-3.5755763
110,6.5,3.2,5.1,2.0,virginica,13.608686,-2.038846
111,6.4,2.7,5.3,1.9,virginica,13.439421,-1.0342402
112,6.8,3.0,5.5,2.1,virginica,15.253087,-2.2193394
113,5.7,2.5,5.0,2.0,virginica,10.526871,-1.3685342
114,5.8,2.8,5.1,2.4,virginica,11.057836,-1.903447
115,6.4,3.2,5.3,2.3,virginica,14.14332,-2.8120065
116,6.5,3.0,5.5,1.8,virginica,14.38636,-1.3057127
117,7.7,3.8,6.7,2.2,virginica,17.919071,-3.683293
118,7.7,2.6,6.9,2.3,virginica,18.434958,-2.8186867
119,6.0,2.2,5.0,1.5,virginica,9.523772,-0.25706315
120,6.9,3.2,5.7,2.3,virginica,15.917126,-2.8647163
121,5.6,2.8,4.9,2.0,virginica,10.439818,-1.2801048
122,7.7,2.8,6.7,2.0,virginica,18.24019,-2.81261
123,6.3,2.7,4.9,1.8,virginica,11.641777,0.023159401
124,6.7,3.3,5.7,2.1,virginica,15.623736,-2.7197702
125,7.2,3.2,6.0,1.8,virginica,17.108723,-2.3875484
126,6.2,2.8,4.8,1.8,virginica,11.241127,0.28733364
127,6.1,3.0,4.9,1.8,virginica,11.079344,0.21411769
128,6.4,2.8,5.6,2.1,virginica,14.819816,-1.5241959
129,7.2,3.0,5.8,1.6,virginica,17.057594,-1.940458
130,7.4,2.8,6.1,1.9,virginica,17.53868,-2.3720212
131,7.9,3.8,6.4,2.0,virginica,17.906607,-3.6725566
132,6.4,2.8,5.6,2.2,virginica,14.894945,-1.6861335
133,6.3,2.8,5.1,1.5,virginica,11.994537,0.23483199
134,6.1,2.6,5.6,1.4,virginica,13.001959,-0.45074964
135,7.7,3.0,6.1,2.3,virginica,17.688313,-2.9772444
136,6.3,3.4,5.6,2.4,virginica,14.675654,-3.538094
137,6.4,3.1,5.5,1.8,virginica,14.261361,-1.330593
138,6.0,3.0,4.8,1.8,virginica,10.80003,0.37859702
139,6.9,3.1,5.4,2.1,virginica,15.154096,-2.4318457
140,6.7,3.1,5.6,2.4,virginica,15.274644,-2.9079373
141,6.9,3.1,5.1,2.3,virginica,14.414054,-2.6409726
142,5.8,2.7,5.1,1.9,virginica,10.853568,-1.111328
143,6.8,3.2,5.9,2.3,virginica,16.057924,-3.0066717
144,6.7,3.3,5.7,2.5,virginica,15.513564,-3.3449922
145,6.7,3.0,5.2,2.3,virginica,14.369648,-2.493189
146,6.3,2.5,5.0,1.9,virginica,11.872075,-0.5414145
147,6.5,3.0,5.2,2.0,virginica,13.77225,-1.7742974
148,6.2,3.4,5.4,2.3,virginica,14.138768,-3.3942096
149,5.9,3.0,5.1,1.8,virginica,10.997549,-0.58136696
